ST,ET,jobID,taskID,mean cpu usage,canonical memory usage,disk io,disk space
600000000,900000000,3727144341,8,0.09705,0.004340999999999999,1.621e-05,0.0
900000000,1200000000,3727144341,8,0.1038,0.004478,2.193e-05,0.0
1200000000,1500000000,3727144341,8,0.1017,0.004425,2.384e-05,0.0
1500000000,1800000000,3727144341,8,0.09998,0.0044399999999999995,1.24e-05,0.0
1800000000,2100000000,3727144341,8,0.08997000000000001,0.004372,3.815e-06,0.0
2100000000,2400000000,3727144341,8,0.099,0.004509,2.098e-05,0.0
2400000000,2700000000,3727144341,8,0.09998,0.004340999999999999,1.335e-05,0.0
2700000000,3000000000,3727144341,8,0.09888,0.0043490000000000004,7.629e-06,0.0
3000000000,3300000000,3727144341,8,0.09375,0.004242,1.144e-05,0.0
3300000000,3600000000,3727144341,8,0.09229,0.004333,2.6700000000000002e-05,0.0
3600000000,3900000000,3727144341,8,0.0885,0.004379,2.193e-05,0.0
3900000000,4200000000,3727144341,8,0.0885,0.004478,1.049e-05,0.0
4200000000,4500000000,3727144341,8,0.0946,0.0043950000000000005,5.7220000000000004e-06,0.0
4500000000,4800000000,3727144341,8,0.09314,0.004608,2.098e-05,0.0
4800000000,5100000000,3727144341,8,0.08301,0.004386999999999999,1.812e-05,0.0
5100000000,5211000000,3727144341,8,0.08325,0.004257,1.049e-05,0.0
5211000000,5272000000,3727144341,8,0.08179,0.004333,1.907e-06,0.0
5272000000,5400000000,3727144341,8,0.07898,0.004227000000000001,5.7220000000000004e-06,0.0
5400000000,5700000000,3727144341,8,0.0835,0.004326,2.003e-05,0.0
5700000000,5927000000,3727144341,8,0.07837000000000001,0.004242,1.144e-05,0.0
5927000000,6000000000,3727144341,8,0.07227,0.004143,4.005e-05,0.0
6000000000,6051000000,3727144341,8,0.08337,0.004219,2.8610000000000002e-06,0.0
6051000000,6231000000,3727144341,8,0.08472,0.004234,1.24e-05,0.0
6231000000,6282000000,3727144341,8,0.07874,0.004265,3.815e-06,0.0
6282000000,6300000000,3727144341,8,0.07227,0.0041659999999999996,0.0,0.0
6300000000,6345000000,3727144341,8,0.07849,0.004158,7.629e-06,0.0
6345000000,6600000000,3727144341,8,0.07372999999999999,0.00412,1.144e-05,0.0
6600000000,6724000000,3727144341,8,0.0708,0.004051,1.907e-05,0.0
6724000000,6900000000,3727144341,8,0.07092000000000001,0.004065999999999999,1.144e-05,0.0
6900000000,7200000000,3727144341,8,0.07898,0.004097,1.049e-05,0.0
